Name,Address,Phone,ZIP,Primary Category,Category Name
Banh Mi So,4071 Shaw Ave,(314) 932-8899,63110,Restaurant,Vietnamese
Joy Luck Buffet,9966 Manchester Rd,(636) 394-8888,63122,Restaurant,Chinese
Lu Lu Seafood,8224 Olive Blvd,(314) 997-8888,63130,Restaurant,Chinese
Cate Zone,8108 Olive Blvd,(314) 997-8886,63130,Restaurant,Chinese
Wei Hong BBQ,8148 Olive Blvd,(314) 997-8880,63130,Restaurant,Chinese
Corner 17,6623 Delmar Blvd,(314) 899-2218,63130,Restaurant,Chinese
Sushi Ai,15400 Manchester Rd,(636) 394-8880,63011,Restaurant,Japanese
Sushi Koi,6653 Delmar Blvd,(314) 721-8881,63130,Restaurant,Japanese
Nippon Tei,34 N Brentwood Blvd,(314) 961-8880,63105,Restaurant,Japanese
Robata,1059 S Big Bend Blvd,(314) 644-8880,63117,Restaurant,Japanese
Wasabi Sushi Bar,1101 Washington Ave,(314) 241-8880,63101,Restaurant,Japanese
Seoul Taco,6665 Delmar Blvd,(314) 899-8880,63130,Restaurant,Korean/Mexican
Kim Cheese,617 S Grand Blvd,(314) 241-8881,63103,Restaurant,Korean
BBQ Chicken & Beer,6651 Chippewa St,(314) 899-8882,63109,Restaurant,Korean
Wudon Korean BBQ,9410 Olive Blvd,(314) 997-8883,63132,Restaurant,Korean
The Rice House,8228 Olive Blvd,(314) 997-8884,63130,Restaurant,Korean
La Vallesana,2801 Cherokee St,(314) 776-4223,63118,Restaurant,Mexican
Taqueria Durango,3123 Cherokee St,(314) 772-8880,63118,Restaurant,Mexican
Chimichanga's,3200 S Grand Blvd,(314) 865-8880,63118,Restaurant,Mexican
Pueblo Solis,3716 S Broadway,(314) 772-8881,63118,Restaurant,Mexican
Mi Ranchito,1801 Cherokee St,(314) 776-8882,63118,Restaurant,Mexican
Tortillaria Mexican Kitchen,7272 Manchester Rd,(314) 644-8883,63143,Restaurant,Mexican
El Bronco,2800 Cherokee St,(314) 776-8884,63118,Restaurant,Mexican
Diana's Bakery,2223 S 3rd St,(314) 241-8885,63104,Restaurant,Mexican Bakery
La Tiendita,3200 Cherokee St,(314) 772-8886,63118,Restaurant,Mexican Grocery
El Toluco,5917 S Kingshighway Blvd,(314) 832-8887,63109,Restaurant,Mexican
La Tejana Taqueria,3710 S Broadway,(314) 772-8888,63118,Restaurant,Mexican
La Catrina,1017 S 10th St,(314) 241-8889,63104,Restaurant,Mexican
La Oaxaqueña,2832 Cherokee St,(314) 776-8890,63118,Restaurant,Mexican
El Chico Bakery,2801 Cherokee St,(314) 776-8891,63118,Restaurant,Mexican Bakery
La Venganza,3201 Cherokee St,(314) 772-8892,63118,Restaurant,Mexican
Gioia's Deli,1934 Macklind Ave,(314) 776-9410,63110,Restaurant,Deli/Sandwiches
Adriana's,5101 Shaw Ave,(314) 772-4444,63110,Restaurant,Italian Sandwiches
Blues City Deli,2438 McNair Ave,(314) 773-8225,63104,Restaurant,Sandwiches
Gramophone,4243 Manchester Ave,(314) 531-5700,63110,Restaurant,Sandwiches
Eovaldi's Deli,201 S 6th St,(314) 436-5454,63102,Restaurant,Italian Deli
LeGrand's Market,3257 Ivanhoe Ave,(314) 776-8100,63139,Restaurant,Sandwiches
The Gramophone,4243 Manchester Ave,(314) 531-5700,63110,Restaurant,Sandwiches
Union Loafers,1629 Tower Grove Ave,(314) 833-6111,63110,Restaurant,Bakery/Café
Nathaniel Reid Bakery,11243 Manchester Rd,(314) 858-1019,63122,Restaurant,Bakery
La Patisserie Chouquette,1626 Tower Grove Ave,(314) 932-7288,63110,Restaurant,French Bakery
Pint Size Bakery,3133 Watson Rd,(314) 644-0100,63139,Restaurant,Bakery
Whisk: A Sustainable Bakeshop,2208 S 39th St,(314) 664-5292,63110,Restaurant,Bakery
SweetArt,2203 S 39th St,(314) 771-4278,63110,Restaurant,Bakery/Café
Knead Bakehouse,1600 Tower Grove Ave,(314) 925-4444,63110,Restaurant,Bakery
Comet Coffee,5708 Oakland Ave,(314) 932-9966,63110,Restaurant,Coffee Shop
Sump Coffee,3700 S Jefferson Ave,(314) 405-5965,63118,Restaurant,Coffee
Blueprint Coffee,6225 Delmar Blvd,(314) 266-4444,63130,Restaurant,Coffee
Rise Coffee House,4180 Manchester Ave,(314) 349-5555,63110,Restaurant,Coffee
Hartford Coffee,3974 Hartford St,(314) 771-2334,63116,Restaurant,Coffee
Meshuggah Cafe,6269 Delmar Blvd,(314) 727-5665,63130,Restaurant,Coffee
Gelateria del Leone,3197 S Grand Blvd,(314) 776-1333,63118,Restaurant,Gelato
Clementine's Creamery,1637 S 18th St,(314) 553-8335,63104,Restaurant,Ice Cream
Jeni's Splendid Ice Creams,4624 Lindell Blvd,(314) 329-5336,63108,Restaurant,Ice Cream
Ices Plain & Fancy,1901 Park Ave,(314) 621-7711,63104,Restaurant,Ice Cream
Ted Drewes Frozen Custard,6726 Chippewa St,(314) 481-2652,63109,Restaurant,Frozen Custard
Andy's Frozen Custard,Multiple Locations,Varies,Varies,Restaurant,Frozen Custard
Fitz's Root Beer,6605 Delmar Blvd,(314) 726-9555,63130,Restaurant,American/Soda Fountain
Crown Candy Kitchen,1401 St Louis Ave,(314) 621-9650,63106,Restaurant,Old-School Soda Fountain
Bailey's Range,920 Olive St,(314) 241-8121,63101,Restaurant,Burgers
Stacked STL,3197 S Grand Blvd,(314) 352-4444,63118,Restaurant,Burgers
Mac's Local Eats,1200 S 39th St,(314) 669-4444,63110,Restaurant,Burgers
Hi-Pointe Drive-In,1033 McCausland Ave,(314) 481-4444,63117,Restaurant,Burgers
The Dam Burger,6633 Clayton Rd,(314) 781-1234,63117,Restaurant,Burgers
Carl's Drive-In,9033 Manchester Rd,(314) 961-9650,63144,Restaurant,Burgers
Steak 'n Shake,Multiple Locations,Varies,Varies,Restaurant,Burgers
Lion's Choice,Multiple Locations,Varies,Varies,Restaurant,Roast Beef Sandwiches
The Shaved Duck,2900 Virginia Ave,(314) 776-1407,63118,Restaurant,BBQ
Pappy's Smokehouse,3106 Olive St,(314) 535-4340,63103,Restaurant,BBQ
Bogart's Smokehouse,1627 S 9th St,(314) 621-3107,63104,Restaurant,BBQ
Sugarfire Smokehouse,Multiple Locations,Varies,Varies,Restaurant,BBQ
Salt + Smoke,6525 Delmar Blvd,(314) 727-0200,63130,Restaurant,BBQ
Beast Craft BBQ,20 S Belt W,(618) 233-4760,62269,Restaurant,BBQ
Adam's Smokehouse,1000 Sidney St,(314) 621-3333,63104,Restaurant,BBQ
Smoki O's,1545 S 8th St,(314) 436-2222,63104,Restaurant,BBQ
Vernon's BBQ,3153 Morganford Rd,(314) 832-1666,63116,Restaurant,BBQ
Stellar Hog,1420 S 8th St,(314) 449-7333,63104,Restaurant,BBQ
Dalie's Smokehouse,900 N 4th St,(314) 241-4444,63102,Restaurant,BBQ
Hendel's Market Cafe,599 S 4th St,(314) 771-3333,63102,Restaurant,American
The Piccadilly at Manhattan,1101 Manhattan Ave,(314) 776-7777,63139,Restaurant,British
Scottish Arms,8 S Sarah St,(314) 535-0551,63108,Restaurant,Scottish
